,source,target,weight
0,0,1,19
1,0,2,18
2,0,3,17
3,0,4,16
4,0,5,15
5,0,6,14
6,0,7,13
7,0,8,12
8,0,9,11
9,0,10,10
10,0,11,9
11,0,12,8
12,0,13,7
13,0,14,6
14,0,15,5
15,0,16,4
16,0,17,3
17,0,18,2
18,0,19,1
19,1,0,20
20,1,2,18
21,1,3,17
22,1,4,16
23,1,5,15
24,1,6,14
25,1,7,13
26,1,8,12
27,1,9,11
28,1,10,10
29,1,11,9
30,1,12,8
31,1,13,7
32,1,14,6
33,1,15,5
34,1,16,4
35,1,17,3
36,1,18,2
37,1,19,1
38,2,0,20
39,2,1,19
40,2,3,17
41,2,4,16
42,2,5,15
43,2,6,14
44,2,7,13
45,2,8,12
46,2,9,11
47,2,10,10
48,2,11,9
49,2,12,8
50,2,13,7
51,2,14,6
52,2,15,5
53,2,16,4
54,2,17,3
55,2,18,2
56,2,19,1
57,3,0,20
58,3,1,19
59,3,2,18
60,3,4,16
61,3,5,15
62,3,6,14
63,3,7,13
64,3,8,12
65,3,9,11
66,3,10,10
67,3,11,9
68,3,12,8
69,3,13,7
70,3,14,6
71,3,15,5
72,3,16,4
73,3,17,3
74,3,18,2
75,3,19,1
76,4,0,20
77,4,1,19
78,4,2,18
79,4,3,17
80,4,5,15
81,4,6,14
82,4,7,13
83,4,8,12
84,4,9,11
85,4,10,10
86,4,11,9
87,4,12,8
88,4,13,7
89,4,14,6
90,4,15,5
91,4,16,4
92,4,17,3
93,4,18,2
94,4,19,1
95,5,0,20
96,5,1,19
97,5,2,18
98,5,3,17
99,5,4,16
100,5,6,14
101,5,7,13
102,5,8,12
103,5,9,11
104,5,10,10
105,5,11,9
106,5,12,8
107,5,13,7
108,5,14,6
109,5,15,5
110,5,16,4
111,5,17,3
112,5,18,2
113,5,19,1
114,6,0,20
115,6,1,19
116,6,2,18
117,6,3,17
118,6,4,16
119,6,5,15
120,6,7,13
121,6,8,12
122,6,9,11
123,6,10,10
124,6,11,9
125,6,12,8
126,6,13,7
127,6,14,6
128,6,15,5
129,6,16,4
130,6,17,3
131,6,18,2
132,6,19,1
133,7,0,20
134,7,1,19
135,7,2,18
136,7,3,17
137,7,4,16
138,7,5,15
139,7,6,14
140,7,8,12
141,7,9,11
142,7,10,10
143,7,11,9
144,7,12,8
145,7,13,7
146,7,14,6
147,7,15,5
148,7,16,4
149,7,17,3
150,7,18,2
151,7,19,1
152,8,0,20
153,8,1,19
154,8,2,18
155,8,3,17
156,8,4,16
157,8,5,15
158,8,6,14
159,8,7,13
160,8,9,11
161,8,10,10
162,8,11,9
163,8,12,8
164,8,13,7
165,8,14,6
166,8,15,5
167,8,16,4
168,8,17,3
169,8,18,2
170,8,19,1
171,9,0,20
172,9,1,19
173,9,2,18
174,9,3,17
175,9,4,16
176,9,5,15
177,9,6,14
178,9,7,13
179,9,8,12
180,9,10,10
181,9,11,9
182,9,12,8
183,9,13,7
184,9,14,6
185,9,15,5
186,9,16,4
187,9,17,3
188,9,18,2
189,9,19,1
190,10,0,20
191,10,1,19
192,10,2,18
193,10,3,17
194,10,4,16
195,10,5,15
196,10,6,14
197,10,7,13
198,10,8,12
199,10,9,11
200,10,11,9
201,10,12,8
202,10,13,7
203,10,14,6
204,10,15,5
205,10,16,4
206,10,17,3
207,10,18,2
208,10,19,1
209,11,0,20
210,11,1,19
211,11,2,18
212,11,3,17
213,11,4,16
214,11,5,15
215,11,6,14
216,11,7,13
217,11,8,12
218,11,9,11
219,11,10,10
220,11,12,8
221,11,13,7
222,11,14,6
223,11,15,5
224,11,16,4
225,11,17,3
226,11,18,2
227,11,19,1
228,12,0,20
229,12,1,19
230,12,2,18
231,12,3,17
232,12,4,16
233,12,5,15
234,12,6,14
235,12,7,13
236,12,8,12
237,12,9,11
238,12,10,10
239,12,11,9
240,12,13,7
241,12,14,6
242,12,15,5
243,12,16,4
244,12,17,3
245,12,18,2
246,12,19,1
247,13,0,20
248,13,1,19
249,13,2,18
250,13,3,17
251,13,4,16
252,13,5,15
253,13,6,14
254,13,7,13
255,13,8,12
256,13,9,11
257,13,10,10
258,13,11,9
259,13,12,8
260,13,14,6
261,13,15,5
262,13,16,4
263,13,17,3
264,13,18,2
265,13,19,1
266,14,0,20
267,14,1,19
268,14,2,18
269,14,3,17
270,14,4,16
271,14,5,15
272,14,6,14
273,14,7,13
274,14,8,12
275,14,9,11
276,14,10,10
277,14,11,9
278,14,12,8
279,14,13,7
280,14,15,5
281,14,16,4
282,14,17,3
283,14,18,2
284,14,19,1
285,15,0,20
286,15,1,19
287,15,2,18
288,15,3,17
289,15,4,16
290,15,5,15
291,15,6,14
292,15,7,13
293,15,8,12
294,15,9,11
295,15,10,10
296,15,11,9
297,15,12,8
298,15,13,7
299,15,14,6
300,15,16,4
301,15,17,3
302,15,18,2
303,15,19,1
304,16,0,20
305,16,1,19
306,16,2,18
307,16,3,17
308,16,4,16
309,16,5,15
310,16,6,14
311,16,7,13
312,16,8,12
313,16,9,11
314,16,10,10
315,16,11,9
316,16,12,8
317,16,13,7
318,16,14,6
319,16,15,5
320,16,17,3
321,16,18,2
322,16,19,1
323,17,0,20
324,17,1,19
325,17,2,18
326,17,3,17
327,17,4,16
328,17,5,15
329,17,6,14
330,17,7,13
331,17,8,12
332,17,9,11
333,17,10,10
334,17,11,9
335,17,12,8
336,17,13,7
337,17,14,6
338,17,15,5
339,17,16,4
340,17,18,2
341,17,19,1
