,id,label,topic,in_topic_ID,weight
0,0,enemy,0,20,977.0
1,1,ship,0,19,678.0
2,2,battle,0,18,589.0
3,342,unit,17,18,212.0
4,4,attack,0,16,470.0
5,5,order,0,15,413.0
6,220,human,11,20,892.0
7,7,force,0,13,388.0
8,8,fire,0,12,380.0
9,9,planet,0,11,374.0
10,10,word,0,10,374.0
11,224,hell,11,16,537.0
12,187,second,9,13,280.0
13,13,system,0,7,316.0
14,70,ready,3,10,226.0
15,186,problem,9,14,280.0
16,243,high,12,17,438.0
17,316,long,15,4,337.0
18,18,space,0,2,298.0
19,230,reason,11,10,412.0
20,20,card,1,20,1069.0
21,21,class,1,19,759.0
22,140,love,7,20,358.0
23,23,match,1,17,469.0
24,24,karuta,1,16,469.0
25,25,cute,1,15,466.0
26,26,plan,1,14,356.0
27,27,product,1,13,291.0
28,66,night,3,14,268.0
29,120,school,6,20,1218.0
30,102,strong,5,18,464.0
31,40,work,2,20,1672.0
32,32,player,1,8,220.0
33,221,body,11,19,674.0
34,80,woman,4,20,684.0
35,182,tomorrow,9,18,335.0
36,43,team,2,17,286.0
37,37,tournament,1,3,211.0
38,38,bridge,1,2,194.0
39,39,cast,1,1,189.0
40,41,overlord,2,19,1529.0
41,161,soul,8,19,266.0
42,45,point,2,15,249.0
43,48,curse,2,12,204.0
44,49,ball,2,11,194.0
45,308,face,15,12,430.0
46,54,chance,2,6,162.0
47,56,serve,2,4,151.0
48,57,stand,2,3,133.0
49,59,head,2,1,120.0
50,60,.,3,20,1921.0
51,260,demon,13,20,894.0
52,300,happy,15,20,712.0
53,142,brother,7,18,182.0
54,83,dream,4,17,270.0
55,322,morning,16,18,404.0
56,75,chip,3,5,189.0
57,77,cake,3,3,181.0
58,355,damn,17,5,130.0
59,81,blue,4,19,460.0
60,82,white,4,18,311.0
61,84,yume,4,16,235.0
62,85,bird,4,15,234.0
63,86,blood,4,14,232.0
64,87,adult,4,13,229.0
65,88,cherry,4,12,217.0
66,89,blossom,4,11,216.0
67,90,sauce,4,10,210.0
68,91,medium,4,9,209.0
69,92,spin,4,8,186.0
70,261,story,13,19,724.0
71,98,cell,4,2,151.0
72,100,magic,5,20,2895.0
73,101,guild,5,19,474.0
74,103,witch,5,17,405.0
75,104,spell,5,16,348.0
76,106,light,5,14,341.0
77,107,pantie,5,13,332.0
78,109,captain,5,11,307.0
79,111,star,5,9,286.0
80,112,girlfriend,5,8,275.0
81,114,amazing,5,6,267.0
82,262,real,13,18,594.0
83,121,subject,6,19,869.0
84,123,title,6,17,638.0
85,124,different,6,16,601.0
86,126,father,6,14,516.0
87,130,dish,6,10,402.0
88,143,feeling,7,17,166.0
89,135,foot,6,5,356.0
90,301,cold,15,19,657.0
91,141,:,7,19,189.0
92,144,/,7,16,160.0
93,145,monster,7,15,153.0
94,148,sister,7,12,135.0
95,149,moment,7,11,129.0
96,151,ghost,7,9,127.0
97,152,close,7,8,112.0
98,154,sailor,7,6,108.0
99,173,future,8,7,122.0
100,160,wipe,8,20,354.0
101,282,game,14,18,618.0
102,164,bastard,8,16,190.0
103,165,free,8,15,168.0
104,166,program,8,14,166.0
105,167,scramble,8,13,153.0
106,169,triple,8,11,146.0
107,170,,8,10,138.0
108,171,butterfly,8,9,131.0
109,172,loop,8,8,124.0
110,174,history,8,6,120.0
111,175,machine,8,5,119.0
112,176,past,8,4,114.0
113,177,line,8,3,110.0
114,178,jump,8,2,109.0
115,181,summer,9,19,370.0
116,192,festival,9,8,234.0
117,285,room,14,15,531.0
118,194,home,9,6,218.0
119,198,money,9,2,198.0
120,199,dorm,9,1,197.0
121,200,chapter,10,20,573.0
122,201,manga,10,19,550.0
123,206,page,10,14,372.0
124,207,serialization,10,13,354.0
125,208,splash,10,12,343.0
126,211,stare,10,9,323.0
127,212,character,10,8,302.0
128,213,shot,10,7,251.0
129,214,editor,10,6,237.0
130,215,main,10,5,228.0
131,216,yesterday,10,4,220.0
132,217,item,10,3,220.0
133,219,storyboard,10,1,217.0
134,225,ability,11,15,521.0
135,227,busy,11,13,441.0
136,234,spirit,11,6,378.0
137,235,death,11,5,377.0
138,237,case,11,3,372.0
139,241,",",12,19,472.0
140,244,child,12,16,423.0
141,245,mother,12,15,373.0
142,249,young,12,11,346.0
143,250,matter,12,10,293.0
144,252,gold,12,8,286.0
145,253,prince,12,7,275.0
146,254,mortal,12,6,270.0
147,307,family,15,13,464.0
148,258,period,12,2,260.0
149,264,organization,13,16,516.0
150,265,fiction,13,15,514.0
151,266,coincidental,13,14,504.0
152,267,resemblance,13,13,498.0
153,268,alive,13,12,288.0
154,274,sacred,13,6,220.0
155,275,sword,13,5,219.0
156,278,joke,13,2,203.0
157,279,village,13,1,198.0
158,281,hero,14,19,1187.0
159,284,student,14,16,549.0
160,328,club,16,12,225.0
161,306,intense,15,14,468.0
162,323,important,16,17,305.0
163,327,quack,16,13,227.0
164,331,chan,16,9,202.0
165,332,test,16,8,196.0
166,334,water,16,6,192.0
167,337,letter,16,3,184.0
168,341,contractor,17,19,274.0
169,343,memory,17,17,171.0
170,344,live,17,16,167.0
171,345,chat,17,15,156.0
172,346,gate,17,14,155.0
173,350,poem,17,10,146.0
174,354,debt,17,6,134.0
175,356,trip,17,4,126.0
176,357,pilot,17,3,125.0
